#Poop length: http://www.scielo.br/pdf/mioc/v98s1/v98s1a14.pdf
#Masses: https://animaldiversity.org/ the University of Michigan's Animal Diversity Web & the Encyclopedia of Life
#Africa:
order	species	feces_max_dim_cm	body_min_kg	body_max_kg	common_name
LAGOMORPHA	Lepus saxatilis	1	1.5	4.5	Hare
LAGOMORPHA	Lepus capensis	1	4	5	Cape Hare
RODENTIA	Paraxerus cepapi	0.5	0.22285	0.22285	Tree Squirel
RODENTIA	Xerus inauris	1.5	0.423	0.649	Ground squirel
RODENTIA	Thryonomys swinderianus	2	3	9	Greater Cane-rat
RODENTIA	Pedetes capensis	2	3	4	Springhare
RODENTIA	Hystrix africaeaustralis	5	18	30	Porcupine
INSETIVORA	Atelerix frontalis	1.5	0.150	0.555	Hedgehog
PRIMATA	Galago moholi	5	0.142	0.255	Lesser Bushbaby
CARNIVORA	Lycaon pictus	7.5	18	36	Wild dog
CARNIVORA	Vulpes chama	9.5	2.6	2.6	Cape Fox
CARNIVORA	Otocyon megalotis	3.4	3	5.3	Bat-eared Fox
CARNIVORA	Canis mesomelas	7.4	5	10	Black-backed Jackal
CARNIVORA	Canis adustus	9.6	7	12	Side-Stripped Jackal
CARNIVORA	Ictonyx striatus	6.8	1.02	1.4	Striped Polecat
CARNIVORA	Mellivora capensis	6.8	8	12	Honey Badger
CARNIVORA	Aonyx capensis	8	10.6	21	Cape Clawless otter
CARNIVORA	Hyaena brunnea	5	34.2	72.6	Brown Hyaena
CARNIVORA	Proteles cristata	11.2	8	14	Aardwolf
CARNIVORA	Genetta tigrina	7.5	0.84	3.20	Large–spotted Genet
CARNIVORA	Genetta genetta	5.5	1	3	small-spotted Genet
CARNIVORA	Suricata suricatta	5	0.720	0.731	Suricate
CARNIVORA	Rhynchogale melleri	8	2.2	2.2	Meller’s Mongoose
CARNIVORA	Cynictis penicillata	4.4	0.6	0.6	Yellow Mongoose
CARNIVORA	Galerella pulverulenta	4	0.49	1.25	Small Grey Mongoose
CARNIVORA	Ichneumia albicauda	7	3.4	3.6	White-tailed Mongoose
CARNIVORA	Atilax paludinosus	3.2	2.5	4.1	Water Mongoose
CARNIVORA	Herpestes ichneumon	9	1.7	4	Large Grey Mongoose
CARNIVORA	Galerella sanguinea	7	0.49	1.25	Slender Mongoose
CARNIVORA	Mungos Mungo	3.2	1	1.5	Banded Mongoose
CARNIVORA	Helogale parvula	3.6	0.2748	0.2748	Dwarf Mongoose
CARNIVORA	Panthera leo	15	126	272	Lion
CARNIVORA	Caracal caracal	5.5	8	19	Caracal
CARNIVORA	Leptailurus serval	12	9	18	Serval
CARNIVORA	Felis silvestris	3.5	3.5	5	African Wild cat
CARNIVORA	Felis nigripes	4.7	1	2.75	Small spotted cat 
